id,name,category,sub_category,address,city,area,lat,lng,rating,taste_rating,decor_rating,service_rating,hygiene_rating,value_rating,review_count,half_year_sales,avg_price_per_person,queue_risk,queue_minutes_peak,queue_minutes_offpeak,has_group_buy,group_buy_title,group_buy_original_price,group_buy_current_price,business_hours,trend_tag,recommend_count
poi_001,外婆家（南京西路店）,餐饮,本帮菜,南京西路1038号,上海,静安,31.2245,121.4491,4.8,4.9,4.5,4.7,4.8,4.3,8420,12450,128,高,40,10,1,双人尊享套餐,380,258,11:00-21:30,火爆,1240
poi_002,南翔馒头店（城隍庙总店）,餐饮,本帮点心,豫园路85号,上海,外滩,31.227,121.4893,4.7,4.8,4.0,4.3,4.5,4.6,15600,28900,65,高,60,20,0,,0,0,08:30-21:00,火爆,2100
poi_003,鼎泰丰（新天地店）,餐饮,台湾菜,马当路181号新天地北里,上海,新天地,31.2195,121.4718,4.9,4.9,4.8,4.9,4.9,4.0,12300,9800,220,中,30,5,1,精致双人套餐,520,398,11:00-22:00,热门,980
poi_004,老克勒（思南路店）,餐饮,本帮菜,思南路23号,上海,淮海路,31.218,121.466,4.6,4.7,4.8,4.5,4.6,4.4,3200,4100,168,低,10,0,1,沪味双人套餐,420,298,11:30-22:00,宝藏,320
poi_005,沈大成（南京东路店）,餐饮,本帮点心,南京东路636号,上海,外滩,31.2363,121.4792,4.5,4.6,3.8,4.2,4.4,4.8,6700,11200,45,中,20,5,0,,0,0,07:00-21:00,老字号,780
poi_006,陕西南路·Alimentari,餐饮,西餐,陕西南路120号,上海,淮海路,31.221,121.4584,4.7,4.7,4.9,4.6,4.8,4.2,2100,3400,198,低,15,0,0,,0,0,12:00-22:30,宝藏,210
poi_007,洪长兴涮羊肉（南京路店）,餐饮,火锅,南京东路560号,上海,外滩,31.236,121.477,4.5,4.6,4.0,4.3,4.4,4.5,5400,7800,120,中,25,5,1,双人涮锅套餐,298,218,11:00-22:00,老字号,560
poi_008,海底捞（陆家嘴店）,餐饮,火锅,陆家嘴环路1000号正大广场6F,上海,陆家嘴,31.2408,121.5064,4.6,4.5,4.7,4.9,4.8,4.0,18900,22100,158,高,50,15,1,双人火锅畅享套餐,398,318,10:00-次日06:00,火爆,1890
poi_009,绿波廊（豫园店）,餐饮,本帮菜,豫园路115号,上海,外滩,31.2268,121.491,4.7,4.8,4.7,4.6,4.7,4.2,4600,5900,198,中,20,0,1,招牌双人套餐,468,328,11:00-21:30,热门,670
poi_010,Mr & Mrs Bund,餐饮,法餐,中山东一路18号6楼,上海,外滩,31.239,121.4894,4.8,4.8,4.9,4.8,4.9,3.8,3100,2800,680,低,0,0,0,,0,0,18:00-23:00,高端,380
poi_011,外滩观光隧道,娱乐,特色体验,中山东一路300号（浦西入口）,上海,外滩,31.2312,121.4872,4.0,0,4.2,4.0,4.1,3.8,22000,18000,60,中,20,5,1,单程票,80,60,08:00-22:00,热门,1100
poi_012,上海外滩美术馆,文化,当代艺术,虎丘路20号,上海,外滩,31.243,121.489,4.6,0,4.8,4.5,4.7,4.4,3800,4200,50,低,10,0,0,,0,0,10:00-18:00（周一闭馆）,宝藏,420
poi_013,豫园,文化,历史建筑,安仁街132号,上海,外滩,31.2272,121.492,4.5,0,4.7,4.2,4.3,4.0,45000,62000,40,高,30,10,1,成人门票,40,35,08:30-17:30,火爆,3200
poi_014,上海历史博物馆,文化,博物馆,南京西路325号,上海,静安,31.2282,121.4644,4.7,0,4.8,4.6,4.8,5.0,12000,18000,0,中,25,5,0,,0,0,09:00-17:00（周一闭馆）,热门,1500
poi_015,上海博物馆,文化,博物馆,人民大道201号,上海,人民广场,31.2295,121.474,4.8,0,4.7,4.5,4.8,5.0,28000,35000,0,高,40,15,0,,0,0,09:00-17:00（周一闭馆）,必打卡,4200
poi_016,上海当代艺术馆（MoCA）,文化,当代艺术,人民公园7号门,上海,人民广场,31.2318,121.471,4.4,0,4.6,4.3,4.5,4.0,5600,7200,50,低,10,0,1,成人票,60,48,10:00-18:00,热门,580
poi_017,外滩风景区,自然,城市景观,中山东一路（全段）,上海,外滩,31.2397,121.4898,4.8,0,4.9,4.5,4.6,5.0,98000,120000,0,低,0,0,0,,0,0,全天,必打卡,8900
poi_018,新天地广场,购物,商业街区,太仓路181号,上海,新天地,31.2185,121.473,4.6,0,4.8,4.4,4.7,4.0,32000,45000,0,低,0,0,0,,0,0,全天,火爆,2800
poi_019,上海城市规划展示馆,文化,博物馆,人民大道100号,上海,人民广场,31.231,121.4748,4.5,0,4.6,4.4,4.6,4.5,8900,11000,30,低,10,0,0,,0,0,09:00-17:00（周一闭馆）,热门,890
poi_020,思南公馆,文化,历史建筑,思南路45-73号,上海,淮海路,31.2165,121.4655,4.6,0,4.9,4.4,4.7,4.8,7200,9500,0,低,0,0,0,,0,0,全天,热门,980
poi_021,武康路历史风貌街区,文化,历史建筑,武康路（全段）,上海,徐汇,31.207,121.4465,4.7,0,4.9,4.3,4.6,5.0,18000,25000,0,低,0,0,0,,0,0,全天,必打卡,2100
poi_022,上海交响乐团音乐厅,文化,演艺,复兴中路1380号,上海,徐汇,31.2095,121.4552,4.8,0,4.9,4.7,4.9,4.2,4100,3800,280,低,0,0,0,,0,0,演出日开放,高端,420
poi_023,1933老场坊,文化,工业遗址,沙泾路10号,上海,虹口,31.2565,121.5008,4.5,0,4.8,4.3,4.5,4.6,9200,11500,0,低,0,0,0,,0,0,09:00-21:00,宝藏,760
poi_024,上海科技馆,文化,博物馆,世纪大道2000号,上海,陆家嘴,31.2198,121.544,4.6,0,4.7,4.4,4.6,4.3,21000,28000,60,高,35,10,1,成人票,60,55,09:00-17:15（周一闭馆）,热门,1800
poi_025,上海自然博物馆,文化,博物馆,静安雕塑公园内,上海,静安,31.2348,121.4569,4.7,0,4.8,4.5,4.8,4.5,16000,22000,30,高,45,15,1,成人参观票,30,28,09:00-17:15（周一闭馆）,火爆,2200
poi_026,东方明珠广播电视塔,文化,地标建筑,陆家嘴世纪大道1号,上海,陆家嘴,31.2396,121.4997,4.4,0,4.6,4.2,4.4,3.8,56000,72000,180,高,50,20,1,球层票（含历史馆）,220,178,08:00-21:30,必打卡,4500
poi_027,上海中心大厦观光厅,文化,地标建筑,银城中路501号,上海,陆家嘴,31.2353,121.5055,4.7,0,4.9,4.6,4.8,4.0,18000,21000,160,中,25,5,1,观光票,180,158,08:30-22:00,热门,1900
poi_028,建投书局（外滩店）,文化,书店,中山东二路600号,上海,外滩,31.2328,121.4922,4.6,0,4.9,4.5,4.7,4.4,4200,5100,0,低,0,0,0,,0,0,10:00-22:00,宝藏,560
poi_029,朵云书院（旗舰店·上海中心）,文化,书店,银城中路501号52楼,上海,陆家嘴,31.2353,121.5055,4.8,0,4.9,4.7,4.8,4.5,6800,8200,0,低,10,0,0,,0,0,09:00-22:00,宝藏,720
poi_030,上海多伦现代美术馆,文化,当代艺术,多伦路27号,上海,虹口,31.263,121.4855,4.4,0,4.6,4.3,4.5,4.3,3100,3800,20,低,5,0,0,,0,0,10:00-18:00（周一闭馆）,宝藏,290
poi_031,猫的天空之城（新天地店）,餐饮,咖啡轻食,太仓路181号新天地北里,上海,新天地,31.2192,121.4725,4.5,4.4,4.8,4.5,4.6,4.1,4800,6200,68,中,15,0,1,双人下午茶套餐,148,108,10:00-22:00,热门,540
poi_032,Manner Coffee（外滩店）,餐饮,咖啡,中山东一路22号,上海,外滩,31.2395,121.49,4.5,4.5,4.4,4.3,4.5,4.7,3200,5800,28,中,15,5,0,,0,0,07:30-21:00,热门,620
poi_033,M on the Bund,餐饮,地中海餐,广东路20号外滩源6F,上海,外滩,31.2418,121.4904,4.7,4.7,4.9,4.7,4.8,3.9,2800,2200,520,低,0,0,0,,0,0,"12:00-14:30, 18:00-22:30",高端,310
poi_034,杏花楼（福州路总店）,餐饮,粤菜,福州路343号,上海,外滩,31.2332,121.4817,4.5,4.6,4.3,4.4,4.5,4.4,7800,9400,138,中,20,5,1,四人粤菜套餐,698,498,11:00-21:30,老字号,860
poi_035,德兴馆（广东路店）,餐饮,本帮菜,广东路471号,上海,外滩,31.2355,121.4845,4.6,4.7,4.2,4.4,4.5,4.6,5200,7100,98,中,20,5,0,,0,0,10:30-20:30,老字号,640
poi_036,荣荣面馆（南京西路店）,餐饮,面食,南京西路580号,上海,静安,31.226,121.4608,4.6,4.7,4.3,4.4,4.6,4.7,4100,6800,58,中,20,5,0,,0,0,10:00-21:00,热门,480
poi_037,光明邨大酒家（淮海中路）,餐饮,本帮菜,淮海中路588号,上海,淮海路,31.2205,121.4645,4.5,4.6,4.2,4.3,4.4,4.7,9800,14200,78,高,35,10,0,,0,0,07:00-21:00,老字号,1200
poi_038,避风塘（陆家嘴店）,餐饮,港式茶餐厅,陆家嘴环路1000号正大广场5F,上海,陆家嘴,31.2408,121.5064,4.4,4.5,4.3,4.3,4.4,4.3,6300,8900,98,中,25,5,1,港式双人套餐,238,178,11:00-22:00,热门,720
poi_039,小南国（黄浦旗舰店）,餐饮,本帮菜,黄浦路199号,上海,外滩,31.2445,121.4935,4.6,4.7,4.6,4.5,4.7,4.2,7100,9200,168,中,20,5,1,三人精选套餐,598,438,11:00-22:00,热门,890
poi_040,喜粤8号（新天地店）,餐饮,粤菜,湖滨路168号企业天地3号楼,上海,新天地,31.2218,121.47,4.5,4.6,4.5,4.4,4.6,4.0,3400,4600,188,低,10,0,1,双人精致午市,398,298,"11:00-14:30, 17:30-22:00",热门,340
poi_041,人民公园,自然,城市公园,南京西路231号,上海,人民广场,31.2328,121.4695,4.5,0,4.6,4.3,4.5,5.0,38000,50000,0,低,0,0,0,,0,0,05:00-20:00,热门,2100
poi_042,复兴公园,自然,城市公园,皋兰路2号,上海,淮海路,31.2158,121.4648,4.5,0,4.6,4.2,4.5,5.0,15000,22000,0,低,0,0,0,,0,0,06:00-18:00,热门,1100
poi_043,黄浦江游船（外滩码头）,娱乐,游船,中山东一路码头,上海,外滩,31.2388,121.4902,4.4,0,4.5,4.3,4.3,4.0,12000,15000,120,中,20,0,1,单人船票（1小时）,150,120,10:00-22:00,热门,1200
poi_044,城隍庙旅游区,文化,历史建筑,方浜中路249号,上海,外滩,31.2255,121.492,4.3,0,4.5,4.0,4.2,4.4,55000,72000,0,高,0,0,0,,0,0,全天,火爆,3800
poi_045,外滩源（圆明园路）,文化,历史建筑,圆明园路（全段）,上海,外滩,31.243,121.4882,4.6,0,4.8,4.3,4.6,5.0,8200,12000,0,低,0,0,0,,0,0,全天,宝藏,890
poi_046,上海电影博物馆,文化,博物馆,漕溪北路595号,上海,徐汇,31.185,121.437,4.6,0,4.7,4.5,4.6,4.3,9800,12500,60,低,10,0,1,成人票,60,55,09:00-17:00（周一闭馆）,热门,820
poi_047,田子坊,文化,创意街区,泰康路210弄,上海,淮海路,31.2088,121.472,4.4,0,4.6,4.2,4.3,4.6,42000,58000,0,低,0,0,0,,0,0,10:00-22:00,火爆,3500
poi_048,M50创意园,文化,创意街区,莫干山路50号,上海,普陀,31.2498,121.447,4.4,0,4.7,4.2,4.4,4.8,11000,15000,0,低,0,0,0,,0,0,10:00-18:00,宝藏,980
poi_049,K11购物艺术中心,购物,艺术商场,淮海中路300号,上海,淮海路,31.2202,121.4688,4.6,0,4.8,4.5,4.7,4.0,25000,38000,0,低,0,0,0,,0,0,10:00-22:00,火爆,2100
poi_050,恒隆广场,购物,高端商场,南京西路1266号,上海,静安,31.226,121.452,4.5,0,4.8,4.5,4.7,3.8,18000,25000,0,低,0,0,0,,0,0,10:00-22:00,高端,1200
poi_051,南京路步行街,购物,商业街,南京东路（全段）,上海,外滩,31.236,121.475,4.4,0,4.5,4.1,4.3,4.5,88000,120000,0,低,0,0,0,,0,0,全天,必打卡,5200
poi_052,淮海中路（购物街）,购物,商业街,淮海中路（全段）,上海,淮海路,31.2195,121.4655,4.5,0,4.7,4.3,4.5,4.2,42000,60000,0,低,0,0,0,,0,0,全天,热门,2800
poi_053,上生·新所,文化,创意街区,延安西路1262号,上海,长宁,31.2155,121.432,4.7,0,4.9,4.5,4.7,4.8,14000,19000,0,低,0,0,0,,0,0,全天,火爆,1500
poi_054,洛克·外滩源,文化,历史建筑,虎丘路27号,上海,外滩,31.2432,121.4885,4.5,0,4.8,4.3,4.6,4.7,6800,9200,0,低,0,0,0,,0,0,10:00-22:00,热门,780
poi_055,上海音乐厅,文化,演艺,延安东路523号,上海,人民广场,31.227,121.4745,4.7,0,4.8,4.6,4.7,4.3,5600,4800,180,低,0,0,0,,0,0,演出日开放,热门,480
